MXene,Sc,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,C,N,F,H,O,OH,NULL,Li,Na,K,Mg,Voltage(V),Theoretical_capacity (mAh/g),Induced_Z_charge(mAh/g),In-plane lattice,In-plane lattice(intercalated)
Mo2COH,,,,,,,1,,,1,,,,,1,,,,,1,-0.41,378,1.843,3.29,3.31
Nb2CF2,,,,,,1,,,,1,,1,,,,,,,,1,-0.8,377,1.675,3.214,3.167
Mo2CO2,,,,,,,1,,,1,,,,1,,,,,,1,1.15,377,1.508,2.993,3.213
Mo2NOH,,,,,,,1,,,,1,,,,1,,,,,1,-0.77,375,1.798,2.833,2.907
Nb2NF2,,,,,,1,,,,,1,1,,,,,,,,1,-0.21,374,1.673,2.911,3.157
Mo2NO2,,,,,,,1,,,,1,,,1,,,,,,1,0.49,374,1.602,2.866,2.865
Mo2CF2,,,,,,,1,,,1,,1,,,,,,,,1,0.32,369,1.651,3.275,3.061
Mo2NF2,,,,,,,1,,,,1,1,,,,,,,,1,2.15,367,1.645,2.785,3.096
Hf2C,,,,,,,,1,,1,,,,,,1,,,,1,0.5,257,1.66,3.21,3.253
Hf2N,,,,,,,,1,,,1,,,,,1,,,,1,0.62,256,1.649,3.175,3.213
Hf2CH2,,,,,,,,1,,1,,,1,,,,,,,1,-0.12,255,1.665,3.252,3.265
Ta2C,,,,,,,,,1,1,,,,,,1,,,,1,0.73,254,1.635,3.081,3.119
Hf2NH2,,,,,,,,1,,,1,,1,,,,,,,1,-0.01,254,1.659,3.179,3.196
Ta2N,,,,,,,,,1,,1,,,,,1,,,,1,0.77,253,1.633,3.098,3.103
Ta2CH2,,,,,,,,,1,1,,,1,,,,,,,1,0.12,253,1.651,3.089,3.12
Ta2NH2,,,,,,,,,1,,1,,1,,,,,,,1,0.09,251,1.638,2.926,3.029
Hf2COH,,,,,,,,1,,1,,,,,1,,,,,1,-0.36,239,1.845,3.276,3.303
Hf2NOH,,,,,,,,1,,,1,,,,1,,,,,1,-0.34,238,1.846,3.257,3.296
Hf2CO2,,,,,,,,1,,1,,,,1,,,,,,1,-0.38,238,1.688,3.27,3.181
Hf2NO2,,,,,,,,1,,,1,,,1,,,,,,1,-0.48,237,1.683,3.215,3.159
Ta2COH,,,,,,,,,1,1,,,,,1,,,,,1,-0.39,236,1.84,3.193,3.238
Ta2CO2,,,,,,,,,1,1,,,,1,,,,,,1,-0.16,236,1.678,3.13,3.116
Ta2NOH,,,,,,,,,1,,1,,,,1,,,,,1,-0.28,235,1.846,2.92,3.325
Ta2NO2,,,,,,,,,1,,1,,,1,,,,,,1,-0.44,235,1.638,3.135,2.936
Hf2CF2,,,,,,,,1,,1,,1,,,,,,,,1,-0.65,235,1.678,3.261,3.236
Hf2NF2,,,,,,,,1,,,1,1,,,,,,,,1,-0.65,234,1.673,3.251,3.197
Ta2CF2,,,,,,,,,1,1,,1,,,,,,,,1,-0.46,233,1.663,3.209,3.147
Ta2NF2,,,,,,,,,1,,1,1,,,,,,,,1,0.05,232,1.659,2.861,3.105
